IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Afghanistan,SEX_FMLE,42.6
Prevalence of obesity among children and adolescents (5–19 years) (%),Afghanistan,SEX_BTSX,8.46
Prevalence of overweight in children under 5 (%),Afghanistan,NA,3.7
Prevalence of stunting in children under 5 (%),Afghanistan,NA,33.1
Prevalence of wasting in children under 5 (%),Afghanistan,NA,3.6
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Afghanistan,NA,34.45
Proportion of births attended by skilled health personnel (%),Afghanistan,NA,67.5
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Afghanistan,NA,35
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Afghanistan,NA,46
Proportion of population using a hand-washing facility with soap and water (%),Afghanistan,NA,48.21
Proportion of population using safely-managed drinking-water services (%),Afghanistan,NA,30.03
Proportion of population with primary reliance on clean fuels and technology (%),Afghanistan,NA,36.1
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Afghanistan,SEX_FMLE,42.1
Reported number of people requiring interventions against NTDs,Afghanistan,NA,14367281
Road traffic mortality rate (per 100 000 population),Afghanistan,NA,24.1
Suicide mortality rate (per 100 000 population),Afghanistan,NA,3.63
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Afghanistan,SEX_BTSX,0.02
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Afghanistan,NA,7.34
Tuberculosis incidence (per 100 000 population),Afghanistan,NA,185
UHC: Service coverage index,Afghanistan,NA,40.88
Under-five mortality rate (per 1000 live births),Afghanistan,SEX_BTSX,57.68
Adolescent birth rate (per 1000 women),African Region,AGEGROUP_YEARS10-14,4.31
Adolescent birth rate (per 1000 women),African Region,AGEGROUP_YEARS15-19,95.5
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,African Region,SEX_BTSX,163.35
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),African Region,SEX_BTSX,35.5
Age-standardized prevalence of obesity among adults (18+ years) (%),African Region,SEX_BTSX,12.08
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,African Region,SEX_BTSX,9.5
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),African Region,NA,2499.56
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),African Region,NA,34.8
Average of 15 International Health Regulations core capacity scores,African Region,NA,50.35
Density of dentists (per 10 000 population) ,African Region,NA,0.2
Density of medical doctors (per 10 000 population) ,African Region,NA,2.6
Density of nursing and midwifery personnel (per 10 000 population) ,African Region,NA,11.3
Density of pharmacists (per 10 000 population) ,African Region,NA,0.4
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),African Region,NA,72
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),African Region,NA,7.25
Healthy life expectancy at birth (years),African Region,SEX_MLE,54.62
Healthy life expectancy at birth (years),African Region,SEX_BTSX,55.16
Healthy life expectancy at birth (years),African Region,SEX_FMLE,55.7
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),African Region,NA,2.53
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),African Region,SEX_FMLE,22
Life expectancy at birth (years),African Region,SEX_MLE,61.74
Life expectancy at birth (years),African Region,SEX_FMLE,65.37
Life expectancy at birth (years),African Region,SEX_BTSX,63.55
Malaria incidence (per 1000 population at risk),African Region,NA,222.61
Maternal mortality ratio (per 100 000 live births),African Region,NA,531.47
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),African Region,NA,45
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),African Region,SEX_BTSX,46.68
Mortality rate due to homicide (per 100 000 population),African Region,NA,9.57
Mortality rate from unintentional poisoning (per 100 000 population),African Region,NA,1.22
Neonatal mortality rate (per 1000 live births),African Region,SEX_BTSX,26.29
New HIV infections (per 1000 uninfected population),African Region,SEX_BTSX,0.57
Number of cases of poliomyelitis caused by wild poliovirus (WPV),African Region,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),African Region,NA,68
Population with household expenditures on health > 10% of total household expenditure or income (%),African Region,NA,8.61
Population with household expenditures on health > 25% of total household expenditure or income (%),African Region,NA,2.59
Prevalence of anaemia in women of reproductive age (15–49 years) (%),African Region,SEX_FMLE,40.4
Prevalence of obesity among children and adolescents (5–19 years) (%),African Region,SEX_BTSX,3.97
Prevalence of overweight in children under 5 (%),African Region,NA,3.9
Prevalence of stunting in children under 5 (%),African Region,NA,31
Prevalence of wasting in children under 5 (%),African Region,NA,5.5
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),African Region,NA,21.33
Proportion of births attended by skilled health personnel (%),African Region,NA,74
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,African Region,NA,20
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,African Region,NA,33
Proportion of population using a hand-washing facility with soap and water (%),African Region,NA,25.53
Proportion of population using safely-managed drinking-water services (%),African Region,NA,33.26
Proportion of population using safely-managed sanitation services (%),African Region,NA,25.6
Proportion of population with primary reliance on clean fuels and technology (%),African Region,NA,23.8
Proportion of safely treated domestic wastewater flows (%),African Region,NA,23.98
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),African Region,SEX_FMLE,58.19
Reported number of people requiring interventions against NTDs,African Region,NA,579196352
Road traffic mortality rate (per 100 000 population),African Region,NA,19.4
Suicide mortality rate (per 100 000 population),African Region,NA,7.21
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),African Region,SEX_BTSX,4.52
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,African Region,NA,5.35
Tuberculosis incidence (per 100 000 population),African Region,NA,208
UHC: Service coverage index,African Region,NA,44.39
Under-five mortality rate (per 1000 live births),African Region,SEX_BTSX,69.64
Adolescent birth rate (per 1000 women),Albania,AGEGROUP_YEARS10-14,0.29
Adolescent birth rate (per 1000 women),Albania,AGEGROUP_YEARS15-19,11.79
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Albania,SEX_BTSX,92.48
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Albania,SEX_BTSX,41.8
Age-standardized prevalence of obesity among adults (18+ years) (%),Albania,SEX_BTSX,23.36
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Albania,SEX_BTSX,21.9
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Albania,NA,30.3
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Albania,NA,16.58
Average of 15 International Health Regulations core capacity scores,Albania,NA,94.8
Density of dentists (per 10 000 population) ,Albania,NA,10.33
Density of medical doctors (per 10 000 population) ,Albania,NA,18.83
Density of nursing and midwifery personnel (per 10 000 population) ,Albania,NA,58.31
Density of pharmacists (per 10 000 population) ,Albania,NA,10.86
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Albania,NA,97
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Albania,NA,9.14
Healthy life expectancy at birth (years),Albania,SEX_BTSX,66.69
Healthy life expectancy at birth (years),Albania,SEX_MLE,65.74
Healthy life expectancy at birth (years),Albania,SEX_FMLE,67.76
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Albania,NA,0.29
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Albania,SEX_FMLE,15
Life expectancy at birth (years),Albania,SEX_MLE,74.36
Life expectancy at birth (years),Albania,SEX_BTSX,76.39
Life expectancy at birth (years),Albania,SEX_FMLE,78.61
Maternal mortality ratio (per 100 000 live births),Albania,NA,8.28
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Albania,NA,93
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Albania,SEX_BTSX,3.2
Mortality rate due to homicide (per 100 000 population),Albania,NA,3.51
Mortality rate from unintentional poisoning (per 100 000 population),Albania,NA,0.21
Neonatal mortality rate (per 1000 live births),Albania,SEX_BTSX,6.96
New HIV infections (per 1000 uninfected population),Albania,SEX_BTSX,0.02
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Albania,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Albania,NA,87
Population with household expenditures on health > 10% of total household expenditure or income (%),Albania,NA,8.85
Population with household expenditures on health > 25% of total household expenditure or income (%),Albania,NA,1.41
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Albania,SEX_FMLE,24.8
Prevalence of obesity among children and adolescents (5–19 years) (%),Albania,SEX_BTSX,7.52
Prevalence of overweight in children under 5 (%),Albania,NA,13.4
Prevalence of stunting in children under 5 (%),Albania,NA,8.3
Prevalence of wasting in children under 5 (%),Albania,NA,1.6
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Albania,NA,11.4
Proportion of births attended by skilled health personnel (%),Albania,NA,100
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Albania,NA,6
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Albania,NA,13
Proportion of population using safely-managed drinking-water services (%),Albania,NA,70.74
Proportion of population using safely-managed sanitation services (%),Albania,NA,56.35
Proportion of population with primary reliance on clean fuels and technology (%),Albania,NA,84.6
Proportion of safely treated domestic wastewater flows (%),Albania,NA,19.47
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Albania,SEX_FMLE,6.3
Reported number of people requiring interventions against NTDs,Albania,NA,0
Road traffic mortality rate (per 100 000 population),Albania,NA,10.8
Suicide mortality rate (per 100 000 population),Albania,NA,2.85
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Albania,SEX_BTSX,5.11
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Albania,NA,1.29
Tuberculosis incidence (per 100 000 population),Albania,NA,15
UHC: Service coverage index,Albania,NA,63.77
Under-five mortality rate (per 1000 live births),Albania,SEX_BTSX,9.44
Adolescent birth rate (per 1000 women),Algeria,AGEGROUP_YEARS15-19,11
Adolescent birth rate (per 1000 women),Algeria,AGEGROUP_YEARS10-14,0
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Algeria,SEX_BTSX,49.75
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Algeria,SEX_BTSX,36.2
Age-standardized prevalence of obesity among adults (18+ years) (%),Algeria,SEX_BTSX,23.81
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Algeria,SEX_BTSX,21.2
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Algeria,NA,1.42
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Algeria,NA,22.85
Average of 15 International Health Regulations core capacity scores,Algeria,NA,72.33
Density of dentists (per 10 000 population) ,Algeria,NA,1.64
Density of medical doctors (per 10 000 population) ,Algeria,NA,9.87
Density of nursing and midwifery personnel (per 10 000 population) ,Algeria,NA,3.16
Density of pharmacists (per 10 000 population) ,Algeria,NA,0.5
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Algeria,NA,77
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Algeria,NA,8.82
Healthy life expectancy at birth (years),Algeria,SEX_BTSX,65.55
Healthy life expectancy at birth (years),Algeria,SEX_FMLE,64.79
Healthy life expectancy at birth (years),Algeria,SEX_MLE,66.38
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Algeria,NA,0.08
Life expectancy at birth (years),Algeria,SEX_MLE,75.51
Life expectancy at birth (years),Algeria,SEX_FMLE,76.64
Life expectancy at birth (years),Algeria,SEX_BTSX,75.98
Malaria incidence (per 1000 population at risk),Algeria,NA,0
Maternal mortality ratio (per 100 000 live births),Algeria,NA,77.69
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Algeria,NA,71
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Algeria,SEX_BTSX,4.1
Mortality rate due to homicide (per 100 000 population),Algeria,NA,1.64
Mortality rate from unintentional poisoning (per 100 000 population),Algeria,NA,0.51
Neonatal mortality rate (per 1000 live births),Algeria,SEX_BTSX,15.16
New HIV infections (per 1000 uninfected population),Algeria,SEX_BTSX,0.05
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Algeria,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Algeria,NA,74
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Algeria,SEX_FMLE,33.3
Prevalence of obesity among children and adolescents (5–19 years) (%),Algeria,SEX_BTSX,15.26
Prevalence of overweight in children under 5 (%),Algeria,NA,11.9
Prevalence of stunting in children under 5 (%),Algeria,NA,8.6
Prevalence of wasting in children under 5 (%),Algeria,NA,2.7
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Algeria,NA,13.94
Proportion of births attended by skilled health personnel (%),Algeria,NA,98.8
Proportion of population using a hand-washing facility with soap and water (%),Algeria,NA,84.8
Proportion of population using safely-managed drinking-water services (%),Algeria,NA,70.6
Proportion of population using safely-managed sanitation services (%),Algeria,NA,62.41
Proportion of population with primary reliance on clean fuels and technology (%),Algeria,NA,99.7
Proportion of safely treated domestic wastewater flows (%),Algeria,NA,76.19
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Algeria,SEX_FMLE,66.3
Reported number of people requiring interventions against NTDs,Algeria,NA,5780
Road traffic mortality rate (per 100 000 population),Algeria,NA,18.3
Suicide mortality rate (per 100 000 population),Algeria,NA,2.19
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Algeria,SEX_BTSX,0.61
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Algeria,NA,0.05
Tuberculosis incidence (per 100 000 population),Algeria,NA,51
UHC: Service coverage index,Algeria,NA,74.11
Under-five mortality rate (per 1000 live births),Algeria,SEX_BTSX,21.75
Adolescent birth rate (per 1000 women),Andorra,AGEGROUP_YEARS15-19,0.51
Adolescent birth rate (per 1000 women),Andorra,AGEGROUP_YEARS10-14,0
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Andorra,SEX_BTSX,31
Age-standardized prevalence of obesity among adults (18+ years) (%),Andorra,SEX_BTSX,18.1
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Andorra,SEX_BTSX,36.3
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Andorra,NA,8.88
Density of dentists (per 10 000 population) ,Andorra,NA,8.93
Density of medical doctors (per 10 000 population) ,Andorra,NA,36.26
Density of nursing and midwifery personnel (per 10 000 population) ,Andorra,NA,43.65
Density of pharmacists (per 10 000 population) ,Andorra,NA,11.02
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Andorra,NA,98
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Andorra,NA,15.73
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Andorra,NA,0.02
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Andorra,SEX_FMLE,83
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Andorra,NA,96
Neonatal mortality rate (per 1000 live births),Andorra,SEX_BTSX,1.34
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Andorra,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Andorra,NA,95
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Andorra,SEX_FMLE,12.1
Prevalence of obesity among children and adolescents (5–19 years) (%),Andorra,SEX_BTSX,11.15
Proportion of births attended by skilled health personnel (%),Andorra,NA,100
Proportion of population using safely-managed drinking-water services (%),Andorra,NA,90.64
Proportion of population using safely-managed sanitation services (%),Andorra,NA,100
Proportion of population with primary reliance on clean fuels and technology (%),Andorra,NA,100
Proportion of safely treated domestic wastewater flows (%),Andorra,NA,100
Reported number of people requiring interventions against NTDs,Andorra,NA,1
Road traffic mortality rate (per 100 000 population),Andorra,NA,2.5
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Andorra,SEX_BTSX,11.05
Tuberculosis incidence (per 100 000 population),Andorra,NA,5.8
UHC: Service coverage index,Andorra,NA,78.86
Under-five mortality rate (per 1000 live births),Andorra,SEX_BTSX,2.69
Adolescent birth rate (per 1000 women),Angola,AGEGROUP_YEARS10-14,10.66
Adolescent birth rate (per 1000 women),Angola,AGEGROUP_YEARS15-19,162.65
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Angola,SEX_BTSX,142.84
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Angola,SEX_BTSX,38.7
Age-standardized prevalence of obesity among adults (18+ years) (%),Angola,SEX_BTSX,11.47
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Angola,NA,16.64
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Angola,NA,32.32
Average of 15 International Health Regulations core capacity scores,Angola,NA,57.47
Contact coverage of treatment services for alcohol use disorders (%),Angola,ALCOHOL,0.41
Density of dentists (per 10 000 population) ,Angola,NA,0.05
Density of medical doctors (per 10 000 population) ,Angola,NA,2.44
Density of nursing and midwifery personnel (per 10 000 population) ,Angola,NA,12.65
Density of pharmacists (per 10 000 population) ,Angola,NA,0.27
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Angola,NA,42
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Angola,NA,8.78
Healthy life expectancy at birth (years),Angola,SEX_FMLE,54.73
Healthy life expectancy at birth (years),Angola,SEX_BTSX,53.76
Healthy life expectancy at birth (years),Angola,SEX_MLE,52.8
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Angola,NA,4.57
Life expectancy at birth (years),Angola,SEX_BTSX,62.13
Life expectancy at birth (years),Angola,SEX_MLE,60.01
Life expectancy at birth (years),Angola,SEX_FMLE,64.26
Malaria incidence (per 1000 population at risk),Angola,NA,235.92
Maternal mortality ratio (per 100 000 live births),Angola,NA,221.91
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Angola,NA,25
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Angola,SEX_BTSX,48.9
Mortality rate due to homicide (per 100 000 population),Angola,NA,8.7
Mortality rate from unintentional poisoning (per 100 000 population),Angola,NA,0.98
Neonatal mortality rate (per 1000 live births),Angola,SEX_BTSX,26.03
New HIV infections (per 1000 uninfected population),Angola,SEX_BTSX,0.44
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Angola,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Angola,NA,24
Population with household expenditures on health > 10% of total household expenditure or income (%),Angola,NA,35.53
Population with household expenditures on health > 25% of total household expenditure or income (%),Angola,NA,12.48
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Angola,SEX_FMLE,44.5
Prevalence of obesity among children and adolescents (5–19 years) (%),Angola,SEX_BTSX,4.44
Prevalence of overweight in children under 5 (%),Angola,NA,3.9
Prevalence of stunting in children under 5 (%),Angola,NA,43.6
Prevalence of wasting in children under 5 (%),Angola,NA,4.9
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Angola,NA,24.59
Proportion of births attended by skilled health personnel (%),Angola,NA,49.6
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Angola,NA,25
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Angola,NA,38
Proportion of population with primary reliance on clean fuels and technology (%),Angola,NA,50
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Angola,SEX_FMLE,29.8
Reported number of people requiring interventions against NTDs,Angola,NA,8672543
Road traffic mortality rate (per 100 000 population),Angola,NA,15
Suicide mortality rate (per 100 000 population),Angola,NA,7.91
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Angola,SEX_BTSX,6.17
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Angola,NA,1.19
Tuberculosis incidence (per 100 000 population),Angola,NA,333
UHC: Service coverage index,Angola,NA,36.73
Under-five mortality rate (per 1000 live births),Angola,SEX_BTSX,66.87
Adolescent birth rate (per 1000 women),Antigua and Barbuda,AGEGROUP_YEARS10-14,0.31
Adolescent birth rate (per 1000 women),Antigua and Barbuda,AGEGROUP_YEARS15-19,32.51
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Antigua and Barbuda,SEX_BTSX,19.26
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Antigua and Barbuda,SEX_BTSX,42.6
Age-standardized prevalence of obesity among adults (18+ years) (%),Antigua and Barbuda,SEX_BTSX,33.25
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Antigua and Barbuda,NA,8.42
Average of 15 International Health Regulations core capacity scores,Antigua and Barbuda,NA,56.2
Density of dentists (per 10 000 population) ,Antigua and Barbuda,NA,0.45
Density of medical doctors (per 10 000 population) ,Antigua and Barbuda,NA,28.98
Density of nursing and midwifery personnel (per 10 000 population) ,Antigua and Barbuda,NA,95.76
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Antigua and Barbuda,NA,99
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Antigua and Barbuda,NA,15.54
Healthy life expectancy at birth (years),Antigua and Barbuda,SEX_MLE,65.9
Healthy life expectancy at birth (years),Antigua and Barbuda,SEX_BTSX,66.52
Healthy life expectancy at birth (years),Antigua and Barbuda,SEX_FMLE,67.03
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Antigua and Barbuda,NA,0.19
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Antigua and Barbuda,SEX_FMLE,2
Life expectancy at birth (years),Antigua and Barbuda,SEX_BTSX,76.92
Life expectancy at birth (years),Antigua and Barbuda,SEX_FMLE,78.42
Life expectancy at birth (years),Antigua and Barbuda,SEX_MLE,75.21
Maternal mortality ratio (per 100 000 live births),Antigua and Barbuda,NA,21.25
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Antigua and Barbuda,NA,91
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Antigua and Barbuda,SEX_BTSX,2.5
Mortality rate due to homicide (per 100 000 population),Antigua and Barbuda,NA,5.83
Mortality rate from unintentional poisoning (per 100 000 population),Antigua and Barbuda,NA,0.52
Neonatal mortality rate (per 1000 live births),Antigua and Barbuda,SEX_BTSX,5.35
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Antigua and Barbuda,NA,0
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Antigua and Barbuda,SEX_FMLE,17.2
Prevalence of obesity among children and adolescents (5–19 years) (%),Antigua and Barbuda,SEX_BTSX,24.44
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Antigua and Barbuda,NA,18.5
Proportion of births attended by skilled health personnel (%),Antigua and Barbuda,NA,99
Proportion of population with primary reliance on clean fuels and technology (%),Antigua and Barbuda,NA,100
Reported number of people requiring interventions against NTDs,Antigua and Barbuda,NA,48
Road traffic mortality rate (per 100 000 population),Antigua and Barbuda,NA,7.5
Suicide mortality rate (per 100 000 population),Antigua and Barbuda,NA,1.44
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Antigua and Barbuda,SEX_BTSX,8.51
Tuberculosis incidence (per 100 000 population),Antigua and Barbuda,NA,1.2
UHC: Service coverage index,Antigua and Barbuda,NA,75.8
Under-five mortality rate (per 1000 live births),Antigua and Barbuda,SEX_BTSX,9.5
Adolescent birth rate (per 1000 women),Argentina,AGEGROUP_YEARS10-14,0.82
Adolescent birth rate (per 1000 women),Argentina,AGEGROUP_YEARS15-19,27.8
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Argentina,SEX_BTSX,29.67
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Argentina,SEX_BTSX,47.5
Age-standardized prevalence of obesity among adults (18+ years) (%),Argentina,SEX_BTSX,35.36
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Argentina,SEX_BTSX,23.8
